date,amount,money,open,max,min,close,delta,deal
0113/09/02,36343903,6688191942,185.5,187,182,183,-1.5,26722
0113/09/03,52160276,9664621237,184,187,183,185,2,30186
0113/09/04,126923199,22545752187,175,181,172,179.5,-5.5,88719
0113/09/05,77629690,13796237402,180,181,175,175,-4.5,72711
0113/09/06,39222622,6922689688,175.5,178,175,176.5,1.5,28471
0113/09/09,68938987,11869037943,172,174,170.5,172,-4.5,63220
0113/09/10,92555358,15703874968,173.5,174,167.5,169,-3,78401
0113/09/11,29538055,5032175690,170,172,169.5,169.5,0.5,20075
0113/09/12,53142993,9359414247,174.5,177.5,174,177.5,8,39767
0113/09/13,37100441,6557941556,179,179.5,175,176,-1.5,27286
0113/09/16,54484267,9745444472,177,182,175,181,5,34487
0113/09/18,78892097,13867710200,179,179.5,173.5,174,-7,72219
0113/09/19,41818994,7338504656,174.5,176.5,173,176.5,2.5,24742
0113/09/20,82199775,14730717699,180,182,177,177,0.5,39913
0113/09/23,30951518,5552858366,178,180.5,177.5,180,3,26766
0113/09/24,57714716,10452057970,179,184,178,183,3,38239
0113/09/25,119878344,22641200780,186.5,191,186,188.5,5.5,81722
0113/09/26,66162758,12583833926,192,193,188.5,189.5,1,64179
0113/09/27,69739488,13370192685,192,194,190,191,1.5,57434
0113/09/30,64605410,12219149922,190,191,187.5,187.5,-3.5,76067
0113/10/01,36339680,6812209357,189,190,185.5,187,-0.5,33125
0113/10/04,118705879,22937372648,188,196.5,188,194,7,71996
0113/10/07,84399003,16617477858,199,199,195,197.5,3.5,83028
0113/10/08,56919495,11111098449,197,197.5,194,194,-3.5,41542
0113/10/09,84123315,16699561256,198,200,197,199,5,52273
0113/10/11,71856959,14407126388,200,202,199,200,1,61591
0113/10/14,36897701,7314343806,200,200,196.5,199,-1,30561
0113/10/15,129198222,26474993881,201,207.5,200.5,207,8,82815
0113/10/16,99708717,20478795445,204,207.5,203.5,205,-2,61667
0113/10/17,66198561,13716403160,207.5,209,204,208.5,3.5,42868
0113/10/18,107497437,22496182726,210,211,207,207.5,-1,63732
0113/10/21,59461934,12553871788,210,213.5,209,210,2.5,42327
0113/10/22,94132714,20135549269,211,216,209,215.5,5.5,63914
0113/10/23,51836095,11146585671,214.5,217,213,216,0.5,52331
0113/10/24,80712284,17138812263,215,215.5,210,211.5,-4.5,77588
0113/10/25,49896574,10691350004,212.5,216,212,216,4.5,35110
0113/10/28,96697162,21028802878,218.5,221.5,214,215,-1,65676
0113/10/29,87991240,18457446806,213,213,207,209.5,-5.5,91406
0113/10/30,68400059,14511199772,209.5,215.5,209,211.5,2,46335
